id,skills_in_desc
123328494,Agile
123328494,Jira
123328494,Confluence
123452316,SQL
123452316,Python
123452316,Excel
122243475,SQL
122243475,Java
122243475,Математика
123372385,SQL
123372385,Power BI
121960531,Excel
123332962,Python
123332962,Excel
123332962,Airflow
123332962,ETL
123332962,ML
123332962,MLflow
123332962,Confluence
123332962,Kubernetes
123332962,REST API
123363422,SQL
123363422,Python
123496717,Jira
123496717,Confluence
123518369,Agile
123518369,Kanban
123518369,Jira
123518369,Confluence
123389268,SQL
123389268,REST API
123389137,SQL
123414215,SQL
123414215,Python
123414215,Hadoop
123414215,Airflow
123414215,ETL
123217022,SQL
123217022,Python
123217022,Tableau
123217022,Excel
123217022,MySQL
123217022,ClickHouse
123217022,Pandas
123217022,NumPy
123217022,Scikit-learn
123338002,SQL
123430976,Excel
123491463,SQL
123491463,Python
123491463,PostgreSQL
123491463,MySQL
123491463,ClickHouse
123491463,Airflow
123491463,ETL
123491463,Git
123491463,Docker
123491463,Linux
123491463,Pandas
123491463,NumPy
121514817,Agile
123429000,Excel
122219643,Git
123429000,Google Sheets
122059039,SQL
122059039,Python
122059039,Excel
122059039,MS SQL
123470084,Python
123470084,1C
123470084,Excel
123470084,Pandas
123470084,NumPy
123295695,Excel
123441816,SQL
123441816,Python
123441816,Superset
123441816,Hive
123441816,DWH
123441816,dbt
123441816,Git
123441816,CI/CD
123441816,Статистика
123478924,SQL
123478924,Python
123478924,PostgreSQL
123478924,ClickHouse
123478924,Spark
123478924,Airflow
123478924,ETL
123478924,Linux
123478924,Pandas
123437532,Scrum
123437532,Agile
123437532,Jira
123437532,Confluence
123437532,REST API
123493526,Excel
123378893,CI/CD
123378893,Linux
123437993,Java
123393436,ML
122151414,Статистика
123316705,SQL
123316705,Python
123316705,Plotly
123316705,Matplotlib
123316705,Seaborn
123316705,Spark
123316705,Airflow
123316705,ML
123316705,Git
123428415,SQL
122872493,SQL
122872493,Python
122872493,Metabase
122872493,Plotly
122872493,PostgreSQL
122872493,MySQL
122872493,ClickHouse
122872493,MongoDB
122872493,Kafka
122872493,Jira
122872493,Confluence
122872493,Docker
122872493,Pandas
123335716,SQL
123335716,Python
123335716,Tableau
123335716,Superset
123335716,Excel
123335716,Jira
123407913,SQL
123407913,Python
123407913,Tableau
123407913,Greenplum
123296591,SQL
123296591,Python
123296591,Tableau
123307201,SQL
123307201,Python
123307201,Power BI
123307201,Tableau
123307201,Looker
123307201,Excel
123307201,Google Sheets
123307201,ML
123473481,SQL
123473481,Oracle
123193109,Python
123193109,ETL
123193109,AI
122268218,PostgreSQL
122268218,ETL
122268218,ELT
123312834,Excel
123312834,Google Sheets
123396239,SQL
123396239,Python
123537247,SQL
123537247,Scrum
123537247,Kanban
123294748,SQL
123294748,Agile
123294748,Jira
123294748,Confluence
123430633,Looker
123430633,Excel
123430633,Google Sheets
123264523,SQL
123264523,Python
123264523,Excel
123264523,Google Sheets
123264523,PostgreSQL
123264523,MySQL
123264523,MS SQL
123264523,Oracle
123264523,ClickHouse
123264523,Redis
123264523,Kubernetes
123532837,SQL
123532837,MS SQL
123532837,Jira
123532837,Confluence
123532837,REST API
123481546,SQL
123481546,Python
123481546,Java
123481546,Hadoop
123481546,Spark
123481546,Airflow
123481546,DWH
123481546,Data Lake
123481546,Git
123481546,Docker
123481546,Kubernetes
123481546,Linux
123481546,REST API
123441137,Excel
123477303,SQL
123011506,Excel
123011506,Google Sheets
123312877,SQL
123327667,SQL
123327667,Excel
123327667,REST API
123093917,SQL
123093917,Azure
123093917,Scrum
123093917,Agile
123093917,Kanban
123093917,REST API
123295946,SQL
123295946,Excel
123396614,SQL
123396614,Python
123396614,Power BI
123396614,Superset
123396614,Excel
123396614,MS SQL
123396614,Hadoop
123396614,Airflow
123393843,SQL
123393843,Java
123393843,PostgreSQL
123393843,Kafka
123393843,ETL
123393843,Agile
123393843,Jira
123393843,Confluence
123393843,Kubernetes
123535729,SQL
123535729,Kubernetes
123462566,SQL
123462566,PostgreSQL
123462566,ETL
123334979,SQL
123334979,Scrum
123334979,Agile
123334979,Jira
123334979,REST API
123440729,Excel
123347249,SQL
123336337,SQL
123093833,SQL
123093833,Tableau
123093833,Excel
123382820,Excel
123417528,Excel
123325694,SQL
123325694,Scrum
123325694,Agile
123325694,Kanban
123325694,Jira
123325694,Confluence
123325694,REST API
123484103,Python
123484103,Excel
123484103,Google Sheets
123484103,Matplotlib
123484103,PostgreSQL
123484103,ML
123484103,Pandas
123484103,NumPy
123484103,Scikit-learn
123484103,XGBoost
123388264,SQL
123388264,PostgreSQL
123388264,MySQL
123388264,MongoDB
123388264,Redis
123388264,Git
123388264,REST API
123393362,SQL
123393362,Python
123393362,PostgreSQL
123393362,MongoDB
123393362,Redis
123393362,Kafka
123393362,REST API
123393362,WebSocket
123310345,SQL
123310345,Python
123310345,Power BI
123310345,Data Studio
123310345,PostgreSQL
123333231,SQL
123333231,Python
123333231,Power BI
123333231,Excel
123333231,DWH
123333231,Machine Learning
123354319,SQL
123354319,Python
123354319,Superset
123354319,ClickHouse
123354319,Airflow
123354319,ETL
123432430,SQL
123432430,Python
123432430,PostgreSQL
123432430,ClickHouse
123432430,Kafka
123432430,AI
123432430,Jira
123432430,Git
123432430,REST API
123531591,SQL
123531591,Scrum
123531591,Agile
123421145,SQL
123421145,Python
123421145,ClickHouse
123421145,Hadoop
123421145,Spark
123421145,Airflow
123421145,AWS
123421145,DWH
123421145,ETL
123421145,ELT
123421145,Data Vault
123421145,Data Lake
123421145,Data Mesh
123421145,dbt
123421145,Git
123421145,CI/CD
123421145,Docker
123421145,Kubernetes
123421145,Bash
123311993,SQL
123311993,Python
123311993,Excel
123311993,PostgreSQL
123311993,MS SQL
123311993,Математика
123434225,SQL
123434225,Python
123434225,Superset
123434225,ClickHouse
123434225,Hadoop
123434225,Spark
123434225,Airflow
123434225,ETL
123434225,ML
123434225,AI
123434225,Git
123367769,SQL
123367769,Python
123367769,Redash
123367769,MySQL
123367769,ClickHouse
123367769,Airflow
123367769,ETL
123367769,ML
123432792,SQL
123432792,Power BI
123432792,Excel
122591010,SQL
122591010,Python
122591010,Power BI
122591010,Excel
120473214,SQL
120473214,Scrum
120473214,Kanban
122997085,Agile
122997085,Kanban
123253170,R
123475000,SQL
123475000,MySQL
123475000,ClickHouse
123466952,Excel
123358029,SQL
123358029,Excel
123358029,Confluence
120293628,SQL
120293628,Python
120293628,R
120293628,Power BI
120293628,Excel
123165000,AI
120293628,ClickHouse
120293628,Математика
120293628,Статистика
123268069,SQL
123394069,SQL
123427346,SQL
123427346,Kafka
123526129,Excel
121593730,SQL
123522417,SQL
123463754,SQL
123463754,Python
123463754,PostgreSQL
